id,feature,fc,pval,qval,gene_name,de
ENSG00000122861,gene,1.42985906408256,0.0,0.0,PLAU,0.515872952899142
ENSG00000137331,gene,2.1234293346176,0.0,0.0,IER3,1.08639609818703
ENSG00000163220,gene,2.3811385996165897,0.0,0.0,S100A9,1.25165159841587
ENSG00000163739,gene,2.8531319817683305,0.0,0.0,CXCL1,1.5125464854539998
ENSG00000169429,gene,4.459331155642929,0.0,0.0,CXCL8,2.15682734001153
ENSG00000136244,gene,3.7486345407379402,8.88178419700125e-16,1.55938753973065e-12,IL6,1.90636518226374
ENSG00000145901,gene,2.12595077996585,8.88178419700125e-16,1.55938753973065e-12,TNIP1,1.08810819596536
ENSG00000122641,gene,2.6311919895238502,1.99840144432528e-15,3.07004421884471e-12,INHBA,1.3957165211105902
ENSG00000134339,gene,3.9420942430867405,1.5876189252139698e-14,2.0739854278417602e-11,SAA2,1.97896226709896
ENSG00000077150,gene,1.8754638741590601,1.6875389974302398e-14,2.0739854278417602e-11,NFKB2,0.90724747357068
ENSG00000118503,gene,2.4823770904246203,6.65023591750469e-14,7.430127220557509e-11,TNFAIP3,1.31172228757253
ENSG00000163207,gene,2.03117225564659,1.01474384450739e-13,1.03926682074966e-10,IVL,1.0223125940550999
ENSG00000115112,gene,0.5813891953413161,2.52908805009611e-13,2.39096093351393e-10,TFCP2L1,-0.7824238345111559
ENSG00000163874,gene,2.63488480476706,5.12034858957122e-13,4.49493458327359e-10,ZC3H12A,1.39773988967117
ENSG00000143546,gene,4.26505598785449,5.54001289287953e-13,4.53911723023263e-10,S100A8,2.09256468008281
ENSG00000276980,gene,2.1370464448371203,6.16950934784199e-13,4.73895436781113e-10,AC008760.2,1.0956182627043498
ENSG00000111331,gene,2.02399314608448,7.68718422250458e-13,5.55738200556361e-10,OAS3,1.01720440459414
ENSG00000140519,gene,2.50817964795027,8.786305016883491e-13,5.710641316550451e-10,RHCG,1.32664068463316
ENSG00000115009,gene,7.54881773664356,8.828493491819241e-13,5.710641316550451e-10,CCL20,2.91625071343906
ENSG00000125538,gene,2.1183178555237703,2.31148433726958e-12,1.42040712525215e-09,IL1B,1.08291908327823
ENSG00000157601,gene,3.42564346704423,3.64264174379514e-12,2.1318127157734396e-09,MX1,1.77637500691129
ENSG00000123689,gene,1.94409751454267,6.49902354155074e-12,3.6305908784390293e-09,G0S2,0.959100585311371
ENSG00000166920,gene,2.18185516160422,2.38107311645308e-11,1.2723212435308e-08,C15orf48,1.12555533421386
ENSG00000134070,gene,2.30827857654086,3.20039550416595e-11,1.60008605510652e-08,IRAK2,1.20681734735478
